instance_number,db_id,query,question,query_toks,query_toks_no_value,question_toks,modified question,generated_query
688,voter_1,"SELECT contestant_number ,  contestant_name FROM contestants ORDER BY contestant_name DESC","List the contestant numbers and names, ordered by contestant name descending.","['SELECT', 'contestant_number', ',', 'contestant_name', 'FROM', 'contestants', 'ORDER', 'BY', 'contestant_name', 'DESC']","['select', 'contestant_number', ',', 'contestant_name', 'from', 'contestants', 'order', 'by', 'contestant_name', 'desc']","['List', 'the', 'contestant', 'numbers', 'and', 'names', ',', 'ordered', 'by', 'contestant', 'name', 'descending', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the contestant numbers and names, ordered by contestant name descending. <query> "," 
SELECT contestant_number, name
FROM contestant
ORDER BY name DESC

""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List"
689,voter_1,"SELECT vote_id ,  phone_number ,  state FROM votes","List the vote ids, phone numbers and states of all votes.","['SELECT', 'vote_id', ',', 'phone_number', ',', 'state', 'FROM', 'votes']","['select', 'vote_id', ',', 'phone_number', ',', 'state', 'from', 'votes']","['List', 'the', 'vote', 'ids', ',', 'phone', 'numbers', 'and', 'states', 'of', 'all', 'votes', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the vote ids, phone numbers and states of all votes. <query> "," 
SELECT vote_id, phone_number, state
FROM votes
ORDER BY vote_id;
"
690,voter_1,"SELECT max(area_code) ,  min(area_code) FROM area_code_state",What are the maximum and minimum values of area codes?,"['SELECT', 'max', '(', 'area_code', ')', ',', 'min', '(', 'area_code', ')', 'FROM', 'area_code_state']","['select', 'max', '(', 'area_code', ')', ',', 'min', '(', 'area_code', ')', 'from', 'area_code_state']","['What', 'are', 'the', 'maximum', 'and', 'minimum', 'values', 'of', 'area', 'codes', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the maximum and minimum values of area codes? <query> "," 
  SELECT
    MAX(area_code) AS max_area_code,
    MIN(area_code) AS min_area_code
  FROM
    area_codes
  WHERE
    area_code IS NOT NULL
  ORDER BY
    area_code
  LIMIT
    1000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000"
691,voter_1,SELECT max(created) FROM votes WHERE state  =  'CA',What is last date created of votes from the state 'CA'?,"['SELECT', 'max', '(', 'created', ')', 'FROM', 'votes', 'WHERE', 'state', '=', ""'CA"", ""'""]","['select', 'max', '(', 'created', ')', 'from', 'votes', 'where', 'state', '=', 'value']","['What', 'is', 'last', 'date', 'created', 'of', 'votes', 'from', 'the', 'state', ""'CA"", ""'"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is last date created of votes from the state 'CA'? <query> "," 
  SELECT MAX(date_created)
  FROM votes
  WHERE state = 'CA';
</query>
"
692,voter_1,SELECT contestant_name FROM contestants WHERE contestant_name != 'Jessie Alloway',What are the names of the contestants whose names are not 'Jessie Alloway',"['SELECT', 'contestant_name', 'FROM', 'contestants', 'WHERE', 'contestant_name', '!', '=', ""'Jessie"", 'Alloway', ""'""]","['select', 'contestant_name', 'from', 'contestants', 'where', 'contestant_name', '!', '=', 'value']","['What', 'are', 'the', 'names', 'of', 'the', 'contestants', 'whose', 'names', 'are', 'not', ""'Jessie"", 'Alloway', ""'""]","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of the contestants whose names are not 'Jessie Alloway' <query> "," 
  <select>
    <from>
      <table>
        <name>contestants</name>
      </table>
    </from>
    <where>
      <not>
        <equals>
          <column>
            <name>name</name>
          </column>
          <value>
            <string>Jessie Alloway</string>
          </value>
        </equals>
      </not>
    </where>
    <return>
      <column>
        <name>name</name>
      </column>
    </return>
  </select>
</query>
"
693,voter_1,"SELECT DISTINCT state ,  created FROM votes",What are the distinct states and create time of all votes?,"['SELECT', 'DISTINCT', 'state', ',', 'created', 'FROM', 'votes']","['select', 'distinct', 'state', ',', 'created', 'from', 'votes']","['What', 'are', 'the', 'distinct', 'states', 'and', 'create', 'time', 'of', 'all', 'votes', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the distinct states and create time of all votes? <query> "," 
  SELECT DISTINCT state, create_time
  FROM votes
  ORDER BY create_time
</query>
"
694,voter_1,"SELECT T1.contestant_number , T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number GROUP BY T1.contestant_number HAVING count(*)  >=  2",What are the contestant numbers and names of the contestants who had at least two votes?,"['SELECT', 'T1.contestant_number', ',', 'T1.contestant_name', 'FROM', 'contestants', 'AS', 'T1', 'JOIN', 'votes', 'AS', 'T2', 'ON', 'T1.contestant_number', '=', 'T2.contestant_number', 'GROUP', 'BY', 'T1.contestant_number', 'HAVING', 'count', '(', '*', ')', '>', '=', '2']","['select', 't1', '.', 'contestant_number', ',', 't1', '.', 'contestant_name', 'from', 'contestants', 'as', 't1', 'join', 'votes', 'as', 't2', 'on', 't1', '.', 'contestant_number', '=', 't2', '.', 'contestant_number', 'group', 'by', 't1', '.', 'contestant_number', 'having', 'count', '(', '*', ')', '>', '=', 'value']","['What', 'are', 'the', 'contestant', 'numbers', 'and', 'names', 'of', 'the', 'contestants', 'who', 'had', 'at', 'least', 'two', 'votes', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the contestant numbers and names of the contestants who had at least two votes? <query> "," 
SELECT contestant_number, name
FROM contestant
WHERE votes >= 2
ORDER BY votes DESC;
"
695,voter_1,"SELECT T1.contestant_number , T1.contestant_name FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number GROUP BY T1.contestant_number ORDER BY count(*) ASC LIMIT 1","Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes?","['SELECT', 'T1.contestant_number', ',', 'T1.contestant_name', 'FROM', 'contestants', 'AS', 'T1', 'JOIN', 'votes', 'AS', 'T2', 'ON', 'T1.contestant_number', '=', 'T2.contestant_number', 'GROUP', 'BY', 'T1.contestant_number', 'ORDER', 'BY', 'count', '(', '*', ')', 'ASC', 'LIMIT', '1']","['select', 't1', '.', 'contestant_number', ',', 't1', '.', 'contestant_name', 'from', 'contestants', 'as', 't1', 'join', 'votes', 'as', 't2', 'on', 't1', '.', 'contestant_number', '=', 't2', '.', 'contestant_number', 'group', 'by', 't1', '.', 'contestant_number', 'order', 'by', 'count', '(', '*', ')', 'asc', 'limit', 'value']","['Of', 'all', 'the', 'contestants', 'who', 'got', 'voted', ',', 'what', 'is', 'the', 'contestant', 'number', 'and', 'name', 'of', 'the', 'contestant', 'who', 'got', 'least', 'votes', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Of all the contestants who got voted, what is the contestant number and name of the contestant who got least votes? <query> "," 
SELECT contestant_number, name
FROM contestant
WHERE contestant_number IN (
    SELECT contestant_number
    FROM contestant
    WHERE contestant_number IN (
        SELECT contestant_number
        FROM contestant
        WHERE contestant_number IN (
            SELECT contestant_number
            FROM contestant
            WHERE contestant_number IN (
                SELECT contestant_number
                FROM contestant
                WHERE contestant_number IN (
                    SELECT contestant_number
                    FROM contestant
                    WHERE contestant_number IN (
                        SELECT contestant_number
                        FROM contestant
                        WHERE contestant_number IN (
                            SELECT contestant_number
                            FROM contestant
                            WHERE contestant_number IN (
                                SELECT contestant_number
                                FROM contestant
                                WHERE contestant_number IN (
                                    SELECT contestant_number
                                    FROM contestant
                                    WHERE contestant_number IN (
                                        SELECT contestant_number
                                        FROM contestant
                                        WHERE contestant_number IN (
                                            SELECT contestant_number
                                            FROM contestant
                                            WHERE contestant_number IN (
                                                <bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
696,voter_1,SELECT count(*) FROM votes WHERE state  =  'NY' OR state  =  'CA',What are the number of votes from state 'NY' or 'CA'?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'votes', 'WHERE', 'state', '=', ""'NY"", ""'"", 'OR', 'state', '=', ""'CA"", ""'""]","['select', 'count', '(', '*', ')', 'from', 'votes', 'where', 'state', '=', 'value', 'or', 'state', '=', 'value']","['What', 'are', 'the', 'number', 'of', 'votes', 'from', 'state', ""'NY"", ""'"", 'or', ""'CA"", ""'"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the number of votes from state 'NY' or 'CA'? <query> "," 
  SELECT COUNT(v.voter_id)
  FROM votes v
  WHERE v.state IN ('NY', 'CA')
</query>
"
697,voter_1,SELECT count(*) FROM contestants WHERE contestant_number NOT IN ( SELECT contestant_number FROM votes ),How many contestants did not get voted?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'contestants', 'WHERE', 'contestant_number', 'NOT', 'IN', '(', 'SELECT', 'contestant_number', 'FROM', 'votes', ')']","['select', 'count', '(', '*', ')', 'from', 'contestants', 'where', 'contestant_number', 'not', 'in', '(', 'select', 'contestant_number', 'from', 'votes', ')']","['How', 'many', 'contestants', 'did', 'not', 'get', 'voted', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many contestants did not get voted? <query> "," 
  SELECT 
    COUNT(DISTINCT contestant) 
  FROM 
    contest 
  WHERE 
    <bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
698,voter_1,SELECT T1.area_code FROM area_code_state AS T1 JOIN votes AS T2 ON T1.state  =  T2.state GROUP BY T1.area_code ORDER BY count(*) DESC LIMIT 1,What is the area code in which the most voters voted?,"['SELECT', 'T1.area_code', 'FROM', 'area_code_state', 'AS', 'T1', 'JOIN', 'votes', 'AS', 'T2', 'ON', 'T1.state', '=', 'T2.state', 'GROUP', 'BY', 'T1.area_code', 'ORDER', 'BY', 'count', '(', '*', ')', 'DESC', 'LIMIT', '1']","['select', 't1', '.', 'area_code', 'from', 'area_code_state', 'as', 't1', 'join', 'votes', 'as', 't2', 'on', 't1', '.', 'state', '=', 't2', '.', 'state', 'group', 'by', 't1', '.', 'area_code', 'order', 'by', 'count', '(', '*', ')', 'desc', 'limit', 'value']","['What', 'is', 'the', 'area', 'code', 'in', 'which', 'the', 'most', 'voters', 'voted', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What is the area code in which the most voters voted? <query> "," 
SELECT area_code, COUNT(voter_id)
FROM voter
GROUP BY area_code
ORDER BY COUNT(voter_id) DESC
LIMIT 1;
"
699,voter_1,"SELECT T2.created ,  T2.state ,  T2.phone_number FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number WHERE T1.contestant_name  =  'Tabatha Gehling'","What are the create dates, states, and phone numbers of the votes that were for the contestant named 'Tabatha Gehling'?","['SELECT', 'T2.created', ',', 'T2.state', ',', 'T2.phone_number', 'FROM', 'contestants', 'AS', 'T1', 'JOIN', 'votes', 'AS', 'T2', 'ON', 'T1.contestant_number', '=', 'T2.contestant_number', 'WHERE', 'T1.contestant_name', '=', ""'Tabatha"", 'Gehling', ""'""]","['select', 't2', '.', 'created', ',', 't2', '.', 'state', ',', 't2', '.', 'phone_number', 'from', 'contestants', 'as', 't1', 'join', 'votes', 'as', 't2', 'on', 't1', '.', 'contestant_number', '=', 't2', '.', 'contestant_number', 'where', 't1', '.', 'contestant_name', '=', 'value']","['What', 'are', 'the', 'create', 'dates', ',', 'states', ',', 'and', 'phone', 'numbers', 'of', 'the', 'votes', 'that', 'were', 'for', 'the', 'contestant', 'named', ""'Tabatha"", 'Gehling', ""'"", '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the create dates, states, and phone numbers of the votes that were for the contestant named 'Tabatha Gehling'? <query> "," 
  <select>
    <from>
      <votes>
        <where>
          <and>
            <or>
              <or>
                <or>
                  <or>
                    <or>
                      <or>
                        <or>
                          <or>
                            <or>
                              <or>
                                <or>
                                  <or>
                                    <or>
                                      <or>
                                        <or>
                                          <or>
                                            <or>
                                              <or>
                                                <or>
                                                  <or>
                                                    <or>
                                                      <or>
                                                        <or>
                                                          <or>
                                                            <or>
                                                              <or>
                                                                <or>
                                                                  <or>
                                                                    <or>
                                                                      <or>
                                                                        <or>
                                                                          <or>
                                                                            <or>
                                                                              <or>
                                                                                <or>
                                                                                  <or>
                                                                                    <or>
                                                                                      <or>
                                                                                        <or>
                                                                                          <or>
                                                                                            <or>
                                                                                              <or>
                                                                                                <or>
                                                                                                  <or>
                                                                                                    <or>
                                                                                                      <or>
                                                                                                        <or>
                                                                                                          <or>
                                                                                                            <or>
                                                                                                              <or>
                                                                                                                <or>
                                                                                                                  <or>
                                                                                                                    <or>
                                                                                                                      <or>
                                                                                                                        <or>
                                                                                                                          <or>
                                                                                                                            <or>
                                                                                                                              <or>
                                                                                                                                <or>
                                                                                                                                  <or>
                                                                                                                                    <or>
                                                                                                                                      <or>
                                                                                                                                        <or>
                                                                                                                                          <or>
                                                                                                                                            <or>
                                                                                                                                              <or>
                                                                                                                                                <or>
                                                                                                                                                  <or>
                                                                                                                                                    <or>
                                                                                                                                                      <or>
                                                                                                                                                        <or>
                                                                                                                                                          <or>
                                                                                                                                                            <or>
                                                                                                                                                              <or>
                                                                                                                                                                <or>
                                                                                                                                                                  <or>
                                                                                                                                                                    <or>
                                                                                                                                                                      <or>
                                                                                             "
700,voter_1,SELECT T3.area_code FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number JOIN area_code_state AS T3 ON T2.state  =  T3.state WHERE T1.contestant_name  =  'Tabatha Gehling' INTERSECT SELECT T3.area_code FROM contestants AS T1 JOIN votes AS T2 ON T1.contestant_number  =  T2.contestant_number JOIN area_code_state AS T3 ON T2.state  =  T3.state WHERE T1.contestant_name  =  'Kelly Clauss',List the area codes in which voters voted both for the contestant 'Tabatha Gehling' and the contestant 'Kelly Clauss'.,"['SELECT', 'T3.area_code', 'FROM', 'contestants', 'AS', 'T1', 'JOIN', 'votes', 'AS', 'T2', 'ON', 'T1.contestant_number', '=', 'T2.contestant_number', 'JOIN', 'area_code_state', 'AS', 'T3', 'ON', 'T2.state', '=', 'T3.state', 'WHERE', 'T1.contestant_name', '=', ""'Tabatha"", 'Gehling', ""'"", 'INTERSECT', 'SELECT', 'T3.area_code', 'FROM', 'contestants', 'AS', 'T1', 'JOIN', 'votes', 'AS', 'T2', 'ON', 'T1.contestant_number', '=', 'T2.contestant_number', 'JOIN', 'area_code_state', 'AS', 'T3', 'ON', 'T2.state', '=', 'T3.state', 'WHERE', 'T1.contestant_name', '=', ""'Kelly"", 'Clauss', ""'""]","['select', 't3', '.', 'area_code', 'from', 'contestants', 'as', 't1', 'join', 'votes', 'as', 't2', 'on', 't1', '.', 'contestant_number', '=', 't2', '.', 'contestant_number', 'join', 'area_code_state', 'as', 't3', 'on', 't2', '.', 'state', '=', 't3', '.', 'state', 'where', 't1', '.', 'contestant_name', '=', 'value', 'intersect', 'select', 't3', '.', 'area_code', 'from', 'contestants', 'as', 't1', 'join', 'votes', 'as', 't2', 'on', 't1', '.', 'contestant_number', '=', 't2', '.', 'contestant_number', 'join', 'area_code_state', 'as', 't3', 'on', 't2', '.', 'state', '=', 't3', '.', 'state', 'where', 't1', '.', 'contestant_name', '=', 'value']","['List', 'the', 'area', 'codes', 'in', 'which', 'voters', 'voted', 'both', 'for', 'the', 'contestant', ""'Tabatha"", 'Gehling', ""'"", 'and', 'the', 'contestant', ""'Kelly"", 'Clauss', ""'"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> List the area codes in which voters voted both for the contestant 'Tabatha Gehling' and the contestant 'Kelly Clauss'. <query> "," 
SELECT DISTINCT area_code
FROM voter
WHERE candidate_id IN (
  SELECT candidate_id
  FROM candidate
  WHERE name IN ('Tabatha Gehling', 'Kelly Clauss')
);
"
701,voter_1,"select contestant_name from contestants where contestant_name like ""%al%""",Return the names of the contestants whose names contain the substring 'Al' .,"['select', 'contestant_name', 'from', 'contestants', 'where', 'contestant_name', 'like', '""%al%""']","['select', 'contestant_name', 'from', 'contestants', 'where', 'contestant_name', 'like', 'value']","['Return', 'the', 'names', 'of', 'the', 'contestants', 'whose', 'names', 'contain', 'the', 'substring', ""'Al'"", '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Return the names of the contestants whose names contain the substring 'Al' . <query> "," 
SELECT name
FROM Contestant
WHERE name LIKE 'Al%'
"
702,world_1,SELECT Name FROM country WHERE IndepYear  >  1950,What are the names of all the countries that became independent after 1950?,"['SELECT', 'Name', 'FROM', 'country', 'WHERE', 'IndepYear', '>', '1950']","['select', 'name', 'from', 'country', 'where', 'indepyear', '>', 'value']","['What', 'are', 'the', 'names', 'of', 'all', 'the', 'countries', 'that', 'became', 'independent', 'after', '1950', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of all the countries that became independent after 1950? <query> "," 
SELECT country 
FROM country 
WHERE year_of_independence > 1950

""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> What are the names of all the countries that became independent after 19<bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos><bos>"
703,world_1,SELECT Name FROM country WHERE IndepYear  >  1950,Give the names of the nations that were founded after 1950.,"['SELECT', 'Name', 'FROM', 'country', 'WHERE', 'IndepYear', '>', '1950']","['select', 'name', 'from', 'country', 'where', 'indepyear', '>', 'value']","['Give', 'the', 'names', 'of', 'the', 'nations', 'that', 'were', 'founded', 'after', '1950', '.']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> Give the names of the nations that were founded after 1950. <query> "," 
SELECT nation.name
FROM nation
WHERE nation.founding_date > '1950-01-01'
ORDER BY nation.name;
"
704,world_1,"SELECT count(*) FROM country WHERE GovernmentForm  =  ""Republic""",How many countries have a republic as their form of government?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'country', 'WHERE', 'GovernmentForm', '=', '``', 'Republic', ""''""]","['select', 'count', '(', '*', ')', 'from', 'country', 'where', 'governmentform', '=', 'value']","['How', 'many', 'countries', 'have', 'a', 'republic', 'as', 'their', 'form', 'of', 'government', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many countries have a republic as their form of government? <query> "," 
SELECT country
FROM country
WHERE form_of_government = 'republic'
ORDER BY country DESC"
705,world_1,"SELECT count(*) FROM country WHERE GovernmentForm  =  ""Republic""",How many countries have governments that are republics?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'country', 'WHERE', 'GovernmentForm', '=', '``', 'Republic', ""''""]","['select', 'count', '(', '*', ')', 'from', 'country', 'where', 'governmentform', '=', 'value']","['How', 'many', 'countries', 'have', 'governments', 'that', 'are', 'republics', '?']","""Write a query that answers the following question. Return only the query and no additional explanation.""

<question> How many countries have governments that are republics? <query> ",
